cod_id,poste_numero,na_fila_de_links
220854275,2740,SIM
224103313,2785,SIM
224358111,2873,SIM
219385254,2933,SIM
219992765,2994,SIM
221704499,3060,SIM
219992764,3039,SIM
223455909,2761,SIM
219992747,2806,SIM
224358026,3135,SIM
219992889,3071,SIM
220854002,2993,SIM
223455537,2789,SIM
223455536,2710,SIM
220854003,2850,SIM
221807783,2829,SIM
220854012,2861,SIM
219384892,2899,SIM
223977745,2924,SIM
220780215,146,SIM
221621717,117,SIM
219298223,129,SIM
220780224,111,SIM
224251161,137,SIM
224318224,156,SIM
222494803,196,SIM
219384989,213,SIM
223455650,251,SIM
223977789,300,SIM
221704195,387,SIM
223455576,430,SIM
222733901,484,SIM
224314495,489,SIM
224357723,552,SIM
219992922,632,SIM
221704093,694,SIM
222494764,757,SIM
221704415,807,SIM
222495131,866,SIM
219385272,944,SIM
221704417,992,SIM
224358091,1058,SIM
220854100,763,SIM
219384927,797,SIM
224357743,795,SIM
221704157,738,SIM
219385009,680,SIM
219385010,628,SIM
223977763,820,SIM
222494806,858,SIM
219993013,905,SIM
220854099,861,SIM
222494796,831,SIM
220854096,798,SIM
219385007,745,SIM
219654475,929,SIM
220854102,971,SIM
224357758,1014,SIM
221528351,1039,SIM
219384926,1106,SIM
223455638,1061,SIM
222494827,1001,SIM
221704213,942,SIM
222494828,896,SIM
220854125,886,SIM
221704211,852,SIM
223977848,814,SIM
219385048,770,SIM
219992967,715,SIM
223977827,679,SIM
220854133,643,SIM
220854134,606,SIM
221704227,560,SIM
224357799,519,SIM
219384986,417,SIM
224357798,409,SIM
224357800,368,SIM
224318216,249,SIM
222494574,294,SIM
219991667,347,SIM
219298231,399,SIM
223977814,455,SIM
220854135,543,SIM
221704225,493,SIM
219992977,585,SIM
219385029,554,SIM
224357770,522,SIM
221528568,485,SIM
350236657,514,SIM
219991695,435,SIM
220780257,366,SIM
219991700,314,SIM
350236672,239,SIM
224318257,172,SIM
224318325,136,SIM
223977006,127,SIM
